iter	MultiClass
0	3.600215293
1	3.477496266
2	3.343968147
3	3.158157539
4	3.041949433
5	2.830593233
6	2.678344699
7	2.506516249
8	2.404733299
9	2.230634727
10	2.162826871
11	2.019218986
12	1.949036229
13	1.864187515
14	1.79987404
15	1.701677991
16	1.654451334
17	1.568670339
18	1.489667959
19	1.428066532
20	1.38656124
21	1.305529293
22	1.272447248
23	1.228677823
24	1.162630089
25	1.129823141
26	1.086846836
27	1.06203856
28	1.040798414
29	1.00828604
30	0.9834406599
31	0.9189646848
32	0.8907057123
33	0.8748498847
34	0.8504038967
35	0.8282995244
36	0.7905063467
37	0.7746803405
38	0.7619860636
39	0.7492175399
40	0.7243123417
41	0.6885836051
42	0.6767327692
43	0.6496251926
44	0.6280281088
45	0.6164671866
46	0.5998728533
47	0.5876308484
48	0.57663851
49	0.5439044911
50	0.5286323389
51	0.5191427558
52	0.5076058439
53	0.4965231671
54	0.481401072
55	0.4684527216
56	0.4611139531
57	0.4536214215
58	0.4462721826
59	0.4370324987
60	0.426502527
61	0.4198242304
62	0.4134962049
63	0.4011809075
64	0.3933390795
65	0.3873014666
66	0.3760741751
67	0.3705036027
68	0.3617156133
69	0.3529321789
70	0.3457966942
71	0.3366404932
72	0.3314656866
73	0.3142802673
74	0.3087569561
75	0.3045404181
76	0.291021719
77	0.2784523625
78	0.2747617684
79	0.2637485682
80	0.2594545258
81	0.2553411924
82	0.2521205379
83	0.2491574776
84	0.2442207272
85	0.2401600897
86	0.233982198
87	0.225601501
88	0.222059685
89	0.2172921227
90	0.2145452198
91	0.2116421268
92	0.2083721151
93	0.2059118513
94	0.2032930703
95	0.200711662
96	0.1959622185
97	0.1920471018
98	0.1894678223
99	0.187405848
