iter	Passed	Remaining
0	14	1469
1	30	1487
2	48	1553
3	64	1552
4	81	1545
5	97	1533
6	111	1485
7	127	1471
8	143	1446
9	156	1411
10	170	1383
11	186	1368
12	202	1356
13	218	1342
14	235	1332
15	253	1329
16	271	1323
17	286	1304
18	300	1282
19	315	1262
20	335	1262
21	365	1296
22	385	1291
23	403	1277
24	418	1255
25	432	1231
26	447	1210
27	460	1185
28	475	1163
29	489	1141
30	502	1118
31	515	1095
32	529	1075
33	544	1057
34	558	1036
35	574	1020
36	587	1001
37	601	981
38	615	963
39	629	944
40	643	926
41	658	909
42	673	893
43	688	876
44	702	858
45	716	841
46	730	824
47	745	807
48	758	789
49	773	773
50	789	758
51	805	743
52	822	728
53	839	715
54	855	700
55	873	686
56	890	672
57	906	656
58	921	640
59	938	625
60	952	608
61	965	592
62	979	575
63	993	559
64	1008	542
65	1022	526
66	1039	512
67	1060	498
68	1093	491
69	1115	478
70	1131	462
71	1145	445
72	1163	430
73	1190	418
74	1211	403
75	1227	387
76	1249	373
77	1264	356
78	1279	340
79	1293	323
80	1307	306
81	1320	289
82	1334	273
83	1348	256
84	1363	240
85	1378	224
86	1394	208
87	1408	192
88	1422	175
89	1440	160
90	1459	144
91	1473	128
92	1488	112
93	1502	95
94	1516	79
95	1531	63
96	1547	47
97	1560	31
98	1575	15
99	1590	0
